Date	85Kr [Bq/cbm air]	Kr85_error [Bq/cbm air]
14-05-90	1.083	0.03249
21-05-90	1.102	0.03306
28-05-90	1.228	0.03684
05-06-90	1.034	0.03102
11-06-90	1.058	0.03174
18-06-90	1.053	0.03159
25-06-90	0.9858	0.029574
02-07-90	1.001	0.03003
09-07-90	1.025	0.03075
16-07-90	1.058	0.03174
23-07-90	0.9995	0.029985
30-07-90	1.001	0.03003
06-08-90	1.084	0.03252
13-08-90	1.004	0.03012
20-08-90	1.031	0.03093
27-08-90	1.518	0.04554
03-09-90	1.332	0.03996
10-09-90	1.09	0.0327
17-09-90	1.457	0.04371
24-09-90	1.095	0.03285
01-10-90	1.657	0.04971
08-10-90	1.069	0.03207
15-10-90	1.16	0.0348
22-10-90	1.13	0.0339
29-10-90	1.287	0.03861
05-11-90	1.707	0.05121
12-11-90	1.369	0.04107
19-11-90	1.271	0.03813
26-11-90	1.19	0.0357
03-12-90	1.114	0.03342
10-12-90	1.192	0.03576
17-12-90	1.224	0.03672
27-12-90	1.038	0.03114
07-01-91	1.068	0.03204
14-01-91	1.093	0.03279
21-01-91	1.072	0.03216
28-01-91	1.103	0.03309
04-02-91	1.253	0.03759
11-02-91	1.36	0.0408
18-02-91	1.202	0.03606
25-02-91	1.094	0.03282
04-03-91	1.171	0.03513
11-03-91	1.12	0.0336
18-03-91	1.404	0.04212
25-03-91	1.132	0.03396
02-04-91	1.22	0.0366
08-04-91	1.446	0.04338
15-04-91	1.097	0.03291
22-04-91	1.265	0.03795
29-04-91	1.128	0.03384
06-05-91	1.162	0.03486
13-05-91	1.165	0.03495
21-05-91	1.574	0.04722
27-05-91	1.07	0.0321
03-06-91	1.819	0.05457
10-06-91	1.453	0.04359
17-06-91	1.719	0.05157
24-06-91	1.284	0.03852
01-07-91	1.217	0.03651
08-07-91	1.095	0.03285
15-07-91	1.094	0.03282
22-07-91	1.091	0.03273
29-07-91	1.088	0.03264
05-08-91	1.07	0.0321
12-08-91	1.051	0.03153
19-08-91	1.056	0.03168
26-08-91	1.199	0.03597
02-09-91	1.046	0.03138
09-09-91	1.081	0.03243
